Year,Winner,Country,Time,Notes
1970,Gary Muhrcke,United States,02:31:38,Course record
1971,Norman Higgins,United States,02:22:54,Course record
1972,Sheldon Karlin,United States,02:27:52,
1973,Tom Fleming,United States,02:21:54,Course record
1974,Norbert Sander,United States,02:26:30,
1975,Tom Fleming,United States,02:19:27,"Course record, 2nd victory"
1976,Bill Rodgers,United States,02:10:10,Course record
1977,Bill Rodgers,United States,02:11:28,2nd victory
1978,Bill Rodgers,United States,02:12:12,3rd victory
1979,Bill Rodgers,United States,02:11:42,4th victory
1980,Alberto Salazar,United States,02:09:41,Course record
1981,Alberto Salazar,United States,02:08:13,"World record, 2nd victory"
1982,Alberto Salazar,United States,02:09:29,3rd victory
1983,Rod Dixon,New Zealand,02:08:59,
1984,Orlando Pizzolato,Italy,02:14:53,
1985,Orlando Pizzolato,Italy,02:11:34,2nd victory
1986,Gianni Poli,Italy,02:11:06,
1987,Ibrahim Hussein,Kenya,02:11:01,
1988,Steve Jones,United Kingdom,02:08:20,
1989,Juma Ikangaa,Tanzania,02:08:01,Course record
1990,Douglas Wakiihuri,Kenya,02:12:39,
1991,Salvador García,Mexico,02:09:28,
1992,Willie Mtolo,South Africa,02:09:29,
1993,Andrés Espinosa,Mexico,02:10:04,
1994,Germán Silva,Mexico,02:11:21,
1995,Germán Silva,Mexico,02:11:00,2nd victory
1996,Giacomo Leone,Italy,02:09:54,
1997,John Kagwe,Kenya,02:08:12,
1998,John Kagwe,Kenya,02:08:45,2nd victory
1999,Joseph Chebet,Kenya,02:09:14,
2000,Abdelkader El Mouaziz,Morocco,02:10:09,
2001,Tesfaye Jifar,Ethiopia,02:07:43,Course record
2002,Rodgers Rop,Kenya,02:08:07,
2003,Martin Lel,Kenya,02:10:30,
2004,Hendrick Ramaala,South Africa,02:09:28,
2005,Paul Tergat,Kenya,02:09:30,
2006,Marílson Gomes dos Santos,Brazil,02:09:58,
2007,Martin Lel,Kenya,02:09:04,2nd victory
2008,Marílson Gomes dos Santos,Brazil,02:08:43,2nd victory
2009,Meb Keflezighi,United States,02:09:15,
2010,Gebregziabher Gebremariam,Ethiopia,02:08:14,
2011,Geoffrey Mutai,Kenya,02:05:05,Course record
2013,Geoffrey Mutai,Kenya,02:08:24,2nd victory
2014,Wilson Kipsang,Kenya,02:10:59,
2015,Stanley Biwott,Kenya,02:10:34,
2016,Ghirmay Ghebreslassie,Eritrea,02:07:51,
2017,Geoffrey Kamworor,Kenya,02:10:53,
