Team,Year,Event,Medal
Ethiopia,2000,Athletics Men's Marathon,Gold
Ethiopia,1960,Athletics Men's Marathon,Gold
Ethiopia,1964,Athletics Men's Marathon,Gold
Ethiopia,1996,Athletics Women's Marathon,Gold
Ethiopia,2000,Athletics Men's Marathon,Bronze
Ethiopia,2012,Athletics Women's Marathon,Gold
Ethiopia,2016,Athletics Men's Marathon,Silver
Ethiopia,1968,Athletics Men's Marathon,Gold
Ethiopia,2016,Athletics Women's Marathon,Bronze
Ethiopia,2008,Athletics Men's Marathon,Bronze
Ethiopia,1972,Athletics Men's Marathon,Bronze
Germany,1976,Athletics Men's Marathon,Gold
Germany,1980,Athletics Men's Marathon,Gold
Germany,1992,Athletics Men's Marathon,Bronze
Germany,1988,Athletics Women's Marathon,Bronze
Great Britain,1984,Athletics Men's Marathon,Bronze
Great Britain,1964,Athletics Men's Marathon,Silver
Great Britain,1936,Athletics Men's Marathon,Silver
Great Britain,1932,Athletics Men's Marathon,Silver
Great Britain,1948,Athletics Men's Marathon,Silver
Japan,1996,Athletics Women's Marathon,Bronze
Japan,1936,Athletics Men's Marathon,Gold
Japan,1964,Athletics Men's Marathon,Bronze
Japan,2004,Athletics Women's Marathon,Gold
Japan,1992,Athletics Women's Marathon,Silver
Japan,2000,Athletics Women's Marathon,Gold
Japan,1968,Athletics Men's Marathon,Silver
Japan,1936,Athletics Men's Marathon,Bronze
Japan,1992,Athletics Men's Marathon,Silver
Kenya,2008,Athletics Women's Marathon,Silver
Kenya,2004,Athletics Women's Marathon,Silver
Kenya,2012,Athletics Women's Marathon,Silver
Kenya,2000,Athletics Women's Marathon,Bronze
Kenya,2016,Athletics Men's Marathon,Gold
Kenya,2012,Athletics Men's Marathon,Bronze
Kenya,2008,Athletics Men's Marathon,Gold
Kenya,2016,Athletics Women's Marathon,Gold
Kenya,2000,Athletics Men's Marathon,Silver
Kenya,1996,Athletics Men's Marathon,Bronze
Kenya,2012,Athletics Men's Marathon,Silver
Kenya,1988,Athletics Men's Marathon,Silver
United States,1924,Athletics Men's Marathon,Bronze
United States,1908,Athletics Men's Marathon,Bronze
United States,1976,Athletics Men's Marathon,Silver
United States,1904,Athletics Men's Marathon,Bronze
United States,1912,Athletics Men's Marathon,Bronze
United States,2004,Athletics Women's Marathon,Bronze
United States,1908,Athletics Men's Marathon,Gold
United States,1904,Athletics Men's Marathon,Gold
United States,1984,Athletics Women's Marathon,Gold
United States,2004,Athletics Men's Marathon,Silver
United States,2016,Athletics Men's Marathon,Bronze
United States,1906,Athletics Men's Marathon,Bronze
United States,1972,Athletics Men's Marathon,Gold
