Year,Athlete,Country/State or Province,Time,Notes,State
1897,John McDermott,United States,02:55:10,,NY
1898,Ronald MacDonald,Canada,02:42:00,,NS
1899,Lawrence Brignolia,United States,02:54:38,,MA
1900,Jack Caffery,Canada,02:39:44,,ON
1901,Jack Caffery,Canada,02:29:23,2nd victory,ON
1902,Sammy Mellor,United States,02:43:12,,NY
1903,John Lorden,United States,02:41:29,,MA
1904,Michael Spring,United States,02:38:04,,NY
1905,Frederick Lorz,United States,02:38:25,,NY
1906,Tim Ford,United States,02:45:45,,MA
1907,Thomas Longboat,Canada,02:24:24,,ON
1908,Thomas Morrissey,United States,02:25:43,,NY
1909,Henri Renaud,United States,02:53:36,,NH
1910,Fred Cameron,Canada,02:28:52,,NS
1911,Clarence DeMar,United States,02:21:39,,MA
1912,Michael Ryan,United States,02:21:18,,NY
1913,Fritz Carlson,United States,02:25:14,,MN
1914,James Duffy,Canada,02:25:14,,ON
1915,Fabre Fabre,Canada,02:31:41,,PQ
1916,Arthur Roth,United States,02:27:16,,MA
1917,Bill Kennedy,United States,02:28:37,,NY
1918,Camp Devens,United States,02:29:53,1918 race was relay for 10-man military teams,MA
1919,Carl Linder,United States,02:29:13,,MA
1920,Peter Trivoulides,Greece,02:29:31,,
1921,Frank Zuna,United States,02:18:57,,NY
1922,Clarence DeMar,United States,02:18:10,2nd victory,MA
1923,Clarence DeMar,United States,02:23:47,3rd victory,MA
1924,Clarence DeMar,United States,02:29:40,4th victory,MA
1925,Charles Mellor,United States,02:33:00,,IL
1926,Johnny Miles,Canada,02:25:40,,NS
1927,Clarence DeMar,United States,02:40:22,5th victory,MA
1928,Clarence DeMar,United States,02:37:07,6th victory,MA
1929,Johnny Miles,Canada,02:33:08,2nd victory,NS
1930,Clarence DeMar,United States,02:34:48,7th victory,MA
1931,James Henigan,United States,02:46:45,,MA
1932,Paul Bruyn,Germany,02:33:36,,
1933,Leslie Pawson,United States,02:31:01,,RI
1934,Dave Komonen,Canada,02:32:53,,ON
1935,John Kelley,United States,02:32:07,,MA
1936,Ellison Brown,United States,02:33:40,,RI
1937,Walter Young,Canada,02:33:20,,PQ
1938,Leslie Pawson,United States,02:35:34,2nd victory,RI
1939,Ellison Brown,United States,02:28:51,2nd victory,RI
1940,,Canada,02:28:28,,PQ
1941,Leslie Pawson,United States,02:30:38,3rd victory,RI
1942,Joe Smith,United States,02:26:51,,MA
1943,,Canada,02:28:25,2nd victory,PQ
1944,,Canada,02:31:50,3rd victory,PQ
1945,John Kelley,United States,02:30:40,2nd victory,MA
1946,Stylianos Kyriakides,Greece,02:29:27,First and only Cypriot athlete ever to win,
1947,Suh Yun,South Korea,02:25:39,,
1948,,Canada,02:31:02,4th victory,PQ
1949,Karl Leandersson,Sweden,02:31:50,,
1950,Kee Yong,South Korea,02:32:39,,
1951,Shigeki Tanaka,Japan,02:27:45,,
1952,Doroteo Flores,Guatemala,02:31:53,,
1953,Keizo Yamada,Japan,02:18:51,,
1954,Veikko Karvonen,Finland,02:20:39,,
1955,Hideo Hamamura,Japan,02:18:22,,
1956,Antti Viskari,Finland,02:14:14,,
1957,John Kelley,United States,02:20:05,COURSE LENGTH CHANGED,CT
1958,Franjo Mihali,Yugoslavia,02:25:54,,
1959,Eino Oksanen,Finland,02:22:42,,
1960,Paavo Kotila,Finland,02:20:54,,
1961,Eino Oksanen,Finland,02:23:39,2nd victory,
1962,Eino Oksanen,Finland,02:23:48,3rd victory,
1963,Aur Vandendriessche,Belgium,02:18:58,,
1964,Aur Vandendriessche,Belgium,02:19:59,2nd victory,
1965,Morio Shigematsu,Japan,02:16:33,,
1966,Kenji Kimihara,Japan,02:17:11,,
1967,Dave McKenzie,Zealand New,02:15:45,,
1968,Amby Burfoot,United States,02:22:17,,CT
1969,Yoshiaki Unetani,Japan,02:13:49,,
1970,Ron Hill,United Kingdom,02:10:30,,
1971,Alvaro Mej,Colombia,02:18:45,,
1972,Olavi Suomalainen,Finland,02:15:39,,
1973,Jon Anderson,United States,02:16:03,,OR
1974,Neil Cusack,Ireland,02:13:39,,
1975,Bill Rodgers,United States,02:09:55,,MA
1976,Jack Fultz,United States,02:20:19,,VA
1977,Jerome Drayton,Canada,02:14:46,,ON
1978,Bill Rodgers,United States,02:10:13,2nd victory,MA
1979,Bill Rodgers,United States,02:09:27,3rd victory,MA
1980,Bill Rodgers,United States,02:12:11,4th victory,MA
1981,Toshihiko Seko,Japan,02:09:26,,
1982,Alberto Salazar,United States,02:08:52,,MA
1983,Greg Meyer,United States,02:09:00,,MI
1984,Geoff Smith,United Kingdom,02:10:34,,
1985,Geoff Smith,United Kingdom,02:14:05,2nd victory,
1986,Robert Castella,Australia,02:07:51,,
1987,Toshihiko Seko,Japan,02:11:50,2nd victory,
1988,Ibrahim Hussein,Kenya,02:08:43,,
1989,Abebe Mekonnen,Ethiopia,02:09:06,,
1990,Gelindo Bordin,Italy,02:08:19,,
1991,Ibrahim Hussein,Kenya,02:11:06,2nd victory,
1992,Ibrahim Hussein,Kenya,02:08:14,3rd victory,
1993,Cosmas Ndeti,Kenya,02:09:33,,
1994,Cosmas Ndeti,Kenya,02:07:15,"2nd victory,",
1995,Cosmas Ndeti,Kenya,02:09:22,3rd victory,
1996,Moses Tanui,Kenya,02:09:15,,
1997,Lameck Aguta,Kenya,02:10:34,,
1998,Moses Tanui,Kenya,02:07:34,2nd victory,
1999,Joseph Chebet,Kenya,02:09:52,,
2000,Elijah Lagat,Kenya,02:09:47,,
2001,Bong Ju,South Korea,02:09:43,,
2002,Rodgers Rop,Kenya,02:09:02,,
2003,Kipkoech Cheruiyot,Kenya,02:10:11,,
2004,Timothy Cherigat,Kenya,02:10:37,,
2005,Hailu Negussie,Ethiopia,02:11:44,,
2006,Kipkoech Cheruiyot,Kenya,02:07:14,2nd victory,
2007,Kipkoech Cheruiyot,Kenya,02:14:13,3rd victory,
2008,Kipkoech Cheruiyot,Kenya,02:07:45,4th victory,
2009,Deriba Merga,Ethiopia,02:08:42,,
2010,Kiprono Cheruiyot,Kenya,02:05:52,,
2011,Geoffrey Mutai,Kenya,02:03:02,Current men's course record,
2012,Wesley Korir,Kenya,02:12:40,,
2013,Desisa Benti,Ethiopia,02:10:22,,
2014,Meb Keflezighi,United States,02:08:37,First American win since 1983,CA
2015,Desisa Benti,Ethiopia,02:09:17,2nd victory,
2016,Berhanu Hayle,Ethiopia,02:12:45,,
2017,Geoffrey Kirui,Kenya,02:09:37,,
2018,Yuki Kawauchi,Japan,02:15:58,First Japanese win since 1987,
